Site,Lat,Long,Precip,Year
CC,32.8038,-105.80444,422.2080078,2011
CH,31.91744,-109.27863,605.9510498,2011
CH,31.91721,-109.27945,605.9510498,2011
CH,31.9176,-109.2793,605.9510498,2011
HM,33.63195,-109.32533,611.2360229,2011
HM,33.63202,-109.32601,611.2360229,2011
HM,33.63202,-109.32601,611.2360229,2011
HM,33.63233,-109.32636,611.2360229,2011
JC,35.85509,-105.64057,677.144043,2011
JC,35.85482,-105.63925,677.144043,2011
JC,35.8555,-105.63979,677.144043,2011
JC,35.855092,-105.640575,677.144043,2011
JM,36.02121,-106.58978,591.2140503,2011
MM,33.99105,-107.18371,534.8440552,2011
MM,33.99009,-107.18407,534.8440552,2011
MM,33.99193,-107.18359,534.8440552,2011
MM,33.991475,-107.183675,534.8440552,2011
PL,32.66931,-109.87794,607.1670532,2011
PL,32.66931,-109.87794,607.1670532,2011
PL,32.668392,-109.877642,607.1670532,2011
PL,32.66931,-109.87794,607.1670532,2011
RP,31.90382,-109.27888,605.9510498,2011
RP,31.90382,-109.27966,605.9510498,2011
RP,31.90382,-109.27966,605.9510498,2011
RP,31.9038,-109.28021,605.9510498,2011
SC,35.20589,-106.44305,473.9620361,2011
SC,35.20635,-106.443375,473.9620361,2011
SC,35.20518,-106.44238,473.9620361,2011
SC,35.2058,-106.44234,473.9620361,2011
SH,31.917411,-109.278936,605.9510498,2011
SM,35.24837,-107.59946,699.3360596,2011
SM,35.24688,-107.60036,699.3360596,2011
SM,35.24745,-107.59966,699.3360596,2011
SM,35.24685,-107.59916,699.3360596,2011
SM,35.24711,-107.59861,699.3360596,2011
SS,32.78859,-105.786,422.2080078,2011
SS,32.78859,-105.786,422.2080078,2011
SS,32.78859,-105.786,422.2080078,2011
UK,32.88197,-105.7748,453.9920349,2011
UK,32.88197,-105.7748,453.9920349,2011
UK,32.88197,-105.7748,453.9920349,2011
VC,35.92265,-106.51702,547.9430542,2011
VC,35.92213,-106.51733,547.9430542,2011
VC,35.92178,-106.51765,547.9430542,2011
CC,32.8038,-105.80444,417.2096863,2012
CH,31.91744,-109.27863,706.9213867,2012
CH,31.91721,-109.27945,706.9213867,2012
CH,31.9176,-109.2793,706.9213867,2012
HM,33.63195,-109.32533,546.010498,2012
HM,33.63202,-109.32601,546.010498,2012
HM,33.63202,-109.32601,546.010498,2012
HM,33.63233,-109.32636,546.010498,2012
JC,35.85509,-105.64057,562.9172974,2012
JC,35.85482,-105.63925,562.9172974,2012
JC,35.8555,-105.63979,562.9172974,2012
JC,35.855092,-105.640575,562.9172974,2012
JM,36.02121,-106.58978,489.3544006,2012
MM,33.99105,-107.18371,481.0162964,2012
MM,33.99009,-107.18407,481.0162964,2012
MM,33.99193,-107.18359,481.0162964,2012
MM,33.991475,-107.183675,481.0162964,2012
PL,32.66931,-109.87794,711.8146973,2012
PL,32.66931,-109.87794,711.8146973,2012
PL,32.668392,-109.877642,711.8146973,2012
PL,32.66931,-109.87794,711.8146973,2012
RP,31.90382,-109.27888,706.9213867,2012
RP,31.90382,-109.27966,706.9213867,2012
RP,31.90382,-109.27966,706.9213867,2012
RP,31.9038,-109.28021,706.9213867,2012
SC,35.20589,-106.44305,283.3714905,2012
SC,35.20635,-106.443375,283.3714905,2012
SC,35.20518,-106.44238,283.3714905,2012
SC,35.2058,-106.44234,283.3714905,2012
SH,31.917411,-109.278936,706.9213867,2012
SM,35.24837,-107.59946,653.3631592,2012
SM,35.24688,-107.60036,653.3631592,2012
SM,35.24745,-107.59966,653.3631592,2012
SM,35.24685,-107.59916,653.3631592,2012
SM,35.24711,-107.59861,653.3631592,2012
SS,32.78859,-105.786,417.2096863,2012
SS,32.78859,-105.786,417.2096863,2012
SS,32.78859,-105.786,417.2096863,2012
UK,32.88197,-105.7748,469.9187012,2012
UK,32.88197,-105.7748,469.9187012,2012
UK,32.88197,-105.7748,469.9187012,2012
VC,35.92265,-106.51702,450.8672791,2012
VC,35.92213,-106.51733,450.8672791,2012
VC,35.92178,-106.51765,450.8672791,2012
CC,32.8038,-105.80444,740.6730347,2013
CH,31.91744,-109.27863,800.1630249,2013
CH,31.91721,-109.27945,800.1630249,2013
CH,31.9176,-109.2793,800.1630249,2013
HM,33.63195,-109.32533,703.4940186,2013
HM,33.63202,-109.32601,703.4940186,2013
HM,33.63202,-109.32601,703.4940186,2013
HM,33.63233,-109.32636,703.4940186,2013
JC,35.85509,-105.64057,878.3110352,2013
JC,35.85482,-105.63925,878.3110352,2013
JC,35.8555,-105.63979,878.3110352,2013
JC,35.855092,-105.640575,878.3110352,2013
JM,36.02121,-106.58978,563.5010376,2013
MM,33.99105,-107.18371,448.3530273,2013
MM,33.99009,-107.18407,448.3530273,2013
MM,33.99193,-107.18359,448.3530273,2013
MM,33.991475,-107.183675,448.3530273,2013
PL,32.66931,-109.87794,782.3760376,2013
PL,32.66931,-109.87794,782.3760376,2013
PL,32.668392,-109.877642,782.3760376,2013
PL,32.66931,-109.87794,782.3760376,2013
RP,31.90382,-109.27888,800.1630249,2013
RP,31.90382,-109.27966,800.1630249,2013
RP,31.90382,-109.27966,800.1630249,2013
RP,31.9038,-109.28021,800.1630249,2013
SC,35.20589,-106.44305,509.8710327,2013
SC,35.20635,-106.443375,509.8710327,2013
SC,35.20518,-106.44238,509.8710327,2013
SC,35.2058,-106.44234,509.8710327,2013
SH,31.917411,-109.278936,800.1630249,2013
SM,35.24837,-107.59946,749.9940186,2013
SM,35.24688,-107.60036,749.9940186,2013
SM,35.24745,-107.59966,749.9940186,2013
SM,35.24685,-107.59916,749.9940186,2013
SM,35.24711,-107.59861,749.9940186,2013
SS,32.78859,-105.786,740.6730347,2013
SS,32.78859,-105.786,740.6730347,2013
SS,32.78859,-105.786,740.6730347,2013
UK,32.88197,-105.7748,743.6480103,2013
UK,32.88197,-105.7748,743.6480103,2013
UK,32.88197,-105.7748,743.6480103,2013
VC,35.92265,-106.51702,593.5300293,2013
VC,35.92213,-106.51733,593.5300293,2013
VC,35.92178,-106.51765,593.5300293,2013
CC,32.8038,-105.80444,699.5880127,2014
CH,31.91744,-109.27863,1002.939026,2014
CH,31.91721,-109.27945,1002.939026,2014
CH,31.9176,-109.2793,1002.939026,2014
HM,33.63195,-109.32533,612.1500244,2014
HM,33.63202,-109.32601,612.1500244,2014
HM,33.63202,-109.32601,612.1500244,2014
HM,33.63233,-109.32636,612.1500244,2014
JC,35.85509,-105.64057,700.3080444,2014
JC,35.85482,-105.63925,700.3080444,2014
JC,35.8555,-105.63979,700.3080444,2014
JC,35.855092,-105.640575,700.3080444,2014
JM,36.02121,-106.58978,549.8390503,2014
MM,33.99105,-107.18371,524.6000366,2014
MM,33.99009,-107.18407,524.6000366,2014
MM,33.99193,-107.18359,524.6000366,2014
MM,33.991475,-107.183675,524.6000366,2014
PL,32.66931,-109.87794,673.7280273,2014
PL,32.66931,-109.87794,673.7280273,2014
PL,32.668392,-109.877642,673.7280273,2014
PL,32.66931,-109.87794,673.7280273,2014
RP,31.90382,-109.27888,1002.939026,2014
RP,31.90382,-109.27966,1002.939026,2014
RP,31.90382,-109.27966,1002.939026,2014
RP,31.9038,-109.28021,1002.939026,2014
SC,35.20589,-106.44305,379.8640137,2014
SC,35.20635,-106.443375,379.8640137,2014
SC,35.20518,-106.44238,379.8640137,2014
SC,35.2058,-106.44234,379.8640137,2014
SH,31.917411,-109.278936,1002.939026,2014
SM,35.24837,-107.59946,517.3450317,2014
SM,35.24688,-107.60036,517.3450317,2014
SM,35.24745,-107.59966,517.3450317,2014
SM,35.24685,-107.59916,517.3450317,2014
SM,35.24711,-107.59861,517.3450317,2014
SS,32.78859,-105.786,699.5880127,2014
SS,32.78859,-105.786,699.5880127,2014
SS,32.78859,-105.786,699.5880127,2014
