"Quadrat","Site","Year","PlantGenusSpecies","SampleRound","FloralAbundance","FloweringPlantAbundance","KeyQuad"
"C1","CH","2012","Glandularia bipinnatifida",1,1,1,"CH C1 2012 1"
"C1","CH","2017","Erigeron divergens",1,5,4,"CH C1 2017 1"
"C1","CH","2017","Erigeron flagellaris",2,50,1,"CH C1 2017 2"
"C1","CH","2017","Erigeron flagellaris",3,5,2,"CH C1 2017 3"
"C1","CH","2017","Glandularia bipinnatifida",3,50,1,"CH C1 2017 3"
"C1","CH","2018","Cosmos parviflorus",2,50,3,"CH C1 2018 2"
"C1","CH","2018","Erigeron flagellaris",1,5,1,"CH C1 2018 1"
"C1","CH","2021","Cosmos parviflorus",1,68,42,"CH C1 2021 1"
"C1","CH","2022","Cosmos parviflorus",1,6,8,"CH C1 2022 1"
"C1","CH","2022","Glandularia bipinnatifida",1,140,3,"CH C1 2022 1"
"C1","CH","2022","Houstonia wrightii",1,350,200,"CH C1 2022 1"
"C1","CH","2022","Monarda citriodora austromontana",1,95,2,"CH C1 2022 1"
"C1","CH","2022","Trifolium spp.",1,24,13,"CH C1 2022 1"
"C1","HM","2017","Achillea millefolium",3,50,1,"HM C1 2017 3"
"C1","HM","2017","Erigeron arizonicus",2,5,1,"HM C1 2017 2"
"C1","HM","2017","Erigeron subtrinervis",3,5,2,"HM C1 2017 3"
"C1","HM","2017","Hymenoxys hoopesii",2,50,3,"HM C1 2017 2"
"C1","HM","2017","Hymenoxys hoopesii",3,50,1,"HM C1 2017 3"
"C1","HM","2018","Achillea millefolium",2,5,1,"HM C1 2018 2"
"C1","HM","2018","Erigeron speciosus",2,5,1,"HM C1 2018 2"
"C1","HM","2018","Erigeron tracyi",1,50,20,"HM C1 2018 1"
"C1","HM","2018","Erigeron tracyi",2,5,3,"HM C1 2018 2"
"C1","HM","2018","Gentiana parryi",1,5,1,"HM C1 2018 1"
"C1","HM","2018","Taraxacum officinale",2,5,1,"HM C1 2018 2"
"C1","HM","2018","Tragopogon pratensis",2,5,1,"HM C1 2018 2"
"C1","HM","2021","Erigeron flagellaris",1,1,1,"HM C1 2021 1"
"C1","HM","2022","Erigeron spp.",1,2,4,"HM C1 2022 1"
"C1","HM","2022","Erigeron tracyi",1,28,28,"HM C1 2022 1"
"C1","JC","2012","Erigeron formosissimus",1,1,1,"JC C1 2012 1"
"C1","JC","2017","Allium geyeri",1,5,2,"JC C1 2017 1"
"C1","JC","2017","Campanula rotundifolia",2,5,3,"JC C1 2017 2"
"C1","JC","2017","Campanula rotundifolia",3,50,12,"JC C1 2017 3"
"C1","JC","2017","Eremogone fendleri",1,50,1,"JC C1 2017 1"
"C1","JC","2017","Eremogone fendleri",2,50,1,"JC C1 2017 2"
"C1","JC","2017","Erigeron flagellaris",1,50,60,"JC C1 2017 1"
"C1","JC","2017","Penstemon barbatus",1,5,2,"JC C1 2017 1"
"C1","JC","2018","Campanula rotundifolia",1,5,1,"JC C1 2018 1"
"C1","JC","2018","Campanula rotundifolia",2,5,2,"JC C1 2018 2"
"C1","JC","2018","Erigeron subtrinervis",1,50,4,"JC C1 2018 1"
"C1","JC","2018","Gentiana affinis",2,50,1,"JC C1 2018 2"
"C1","JC","2021","Achillea millefolium",1,4,1,"JC C1 2021 1"
"C1","JC","2021","Campanula rotundifolia",1,2,1,"JC C1 2021 1"
"C1","JC","2021","Potentilla fruticosa",2,8,1,"JC C1 2021 2"
"C1","JC","2021","Potentilla hippiana",2,13,3,"JC C1 2021 2"
"C1","MM","2012","Potentilla hippiana",1,14,14,"MM C1 2012 1"
"C1","MM","2017","Castilleja austromontana",1,5,1,"MM C1 2017 1"
"C1","MM","2017","Potentilla hippiana",1,5,2,"MM C1 2017 1"
"C1","MM","2017","Potentilla hippiana",2,5,2,"MM C1 2017 2"
"C1","MM","2017","Potentilla hippiana",3,50,9,"MM C1 2017 3"
"C1","MM","2018","Castilleja miniata",1,5,2,"MM C1 2018 1"
"C1","MM","2018","Erigeron tracyi",1,50,20,"MM C1 2018 1"
"C1","MM","2018","Gentiana parryi",1,5,1,"MM C1 2018 1"
"C1","MM","2018","Heterotheca pumila",2,50,12,"MM C1 2018 2"
"C1","MM","2018","Hymenopappus newberryi",1,50,3,"MM C1 2018 1"
"C1","MM","2018","Hymenopappus newberryi",2,50,1,"MM C1 2018 2"
"C1","MM","2018","Potentilla hippiana",1,50,20,"MM C1 2018 1"
"C1","MM","2018","Potentilla hippiana",2,50,2,"MM C1 2018 2"
"C1","MM","2021","Erigeron flagellaris",2,1,1,"MM C1 2021 2"
"C1","MM","2021","Potentilla hippiana",1,7,4,"MM C1 2021 1"
"C1","MM","2021","Potentilla hippiana",2,1,1,"MM C1 2021 2"
"C1","MM","2021","Silene scouleri",2,2,2,"MM C1 2021 2"
"C1","MM","2021","Tragopogon pratensis",2,1,1,"MM C1 2021 2"
"C1","MM","2022","Potentilla hippiana",1,14,58,"MM C1 2022 1"
"C1","PL","2012","Cerastium nutans",1,19,19,"PL C1 2012 1"
"C1","PL","2012","Hymenoxys hoopesii",1,15,15,"PL C1 2012 1"
"C1","PL","2018","Campanula rotundifolia",1,5,2,"PL C1 2018 1"
"C1","PL","2018","Hymenoxys hoopesii",1,50,7,"PL C1 2018 1"
"C1","PL","2018","Hymenoxys hoopesii",2,5,1,"PL C1 2018 2"
"C1","PL","2021","Erysimum capitatum",2,13,1,"PL C1 2021 2"
"C1","PL","2022","Cerastium nutans",1,3,1,"PL C1 2022 1"
"C1","RP","2018","Hymenoxys hoopesii",1,5,1,"RP C1 2018 1"
"C1","SC","2012","Erigeron subtrinervis",1,11,11,"SC C1 2012 1"
"C1","SC","2012","Hymenoxys richardsonii",1,7,7,"SC C1 2012 1"
"C1","SC","2017","Campanula rotundifolia",3,5,3,"SC C1 2017 3"
"C1","SC","2017","Cymopterus lemmonii",1,50,2,"SC C1 2017 1"
"C1","SC","2017","Erigeron subtrinervis",3,5,1,"SC C1 2017 3"
"C1","SC","2017","Potentilla hippiana",3,5,4,"SC C1 2017 3"
"C1","SC","2018","Hymenoxys richardsonii",1,5,4,"SC C1 2018 1"
"C1","SC","2018","Hymenoxys richardsonii",2,50,1,"SC C1 2018 2"
"C1","SC","2018","Potentilla hippiana",1,10,6,"SC C1 2018 1"
"C1","SC","2018","Potentilla hippiana",2,50,4,"SC C1 2018 2"
"C1","SC","2021","Cymopterus lemmonii",1,2,2,"SC C1 2021 1"
"C1","SC","2021","Cymopterus lemmonii",2,2,1,"SC C1 2021 2"
"C1","SC","2021","Penstemon pseudoparvus",1,7,4,"SC C1 2021 1"
"C1","SC","2021","Townsendia grandiflora",2,3,3,"SC C1 2021 2"
"C1","SC","2022","Cymopterus lemmonii",1,1,2,"SC C1 2022 1"
"C1","SM","2018","Campanula rotundifolia",1,50,10,"SM C1 2018 1"
"C1","SM","2021","Campanula rotundifolia",2,4,3,"SM C1 2021 2"
"C1","SM","2022","Campanula rotundifolia",1,3,4,"SM C1 2022 1"
"C1","SS","2017","Achillea millefolium",1,50,1,"SS C1 2017 1"
"C1","SS","2017","Hymenoxys hoopesii",1,5,1,"SS C1 2017 1"
"C1","SS","2017","Verbena hastata",1,5,1,"SS C1 2017 1"
"C1","UK","2017","Trifolium pinetorum",1,50,9,"UK C1 2017 1"
"C1","VC","2017","Campanula rotundifolia",1,5,5,"VC C1 2017 1"
"C1","VC","2017","Erigeron formosissimus",1,5,2,"VC C1 2017 1"
"C2","CH","2012","Cerastium nutans",1,5,5,"CH C2 2012 1"
"C2","CH","2012","Trifolium pinetorum",1,1,1,"CH C2 2012 1"
"C2","CH","2017","Glandularia bipinnatifida",3,50,1,"CH C2 2017 3"
"C2","CH","2017","Lupinus palmeri",1,50,10,"CH C2 2017 1"
"C2","CH","2017","Trifolium pinetorum",3,50,1,"CH C2 2017 3"
"C2","CH","2018","Cosmos parviflorus",2,5,1,"CH C2 2018 2"
"C2","CH","2018","Glandularia bipinnatifida",2,5,1,"CH C2 2018 2"
"C2","CH","2022","Drymaria leptophylla",1,9,2,"CH C2 2022 1"
"C2","CH","2022","Erodium cicutarium",1,1,1,"CH C2 2022 1"
"C2","CH","2022","Oenothera elata",1,1,1,"CH C2 2022 1"
"C2","HM","2017","Cymopterus lemmonii",2,50,1,"HM C2 2017 2"
"C2","HM","2017","Erigeron flagellaris",3,5,1,"HM C2 2017 3"
"C2","HM","2017","Hymenoxys hoopesii",1,5,4,"HM C2 2017 1"
"C2","HM","2017","Hymenoxys hoopesii",2,5,4,"HM C2 2017 2"
"C2","HM","2017","Verbascum thapsus",2,5,1,"HM C2 2017 2"
"C2","HM","2017","Verbascum thapsus",3,50,3,"HM C2 2017 3"
"C2","HM","2018","Cymopterus lemmonii",1,50,3,"HM C2 2018 1"
"C2","HM","2018","Erigeron speciosus",2,5,1,"HM C2 2018 2"
"C2","HM","2018","Erigeron tracyi",1,50,12,"HM C2 2018 1"
"C2","HM","2021","Erigeron tracyi",1,1,1,"HM C2 2021 1"
"C2","HM","2021","Taraxacum officinale",1,2,2,"HM C2 2021 1"
"C2","HM","2021","Taraxacum officinale",2,1,1,"HM C2 2021 2"
"C2","HM","2022","Cymopterus lemmonii",1,2,1,"HM C2 2022 1"
"C2","HM","2022","Erigeron tracyi",1,50,50,"HM C2 2022 1"
"C2","HM","2022","Hymenoxys hoopesii",1,9,3,"HM C2 2022 1"
"C2","JC","2012","Achillea millefolium",1,14,14,"JC C2 2012 1"
"C2","JC","2012","Erigeron subtrinervis",1,4,4,"JC C2 2012 1"
"C2","JC","2012","Penstemon barbatus",1,7,7,"JC C2 2012 1"
"C2","JC","2012","Potentilla hippiana",1,3,3,"JC C2 2012 1"
"C2","JC","2017","Achillea millefolium",2,5,1,"JC C2 2017 2"
"C2","JC","2017","Campanula rotundifolia",2,5,1,"JC C2 2017 2"
"C2","JC","2017","Campanula rotundifolia",3,5,1,"JC C2 2017 3"
"C2","JC","2017","Castilleja miniata",1,5,1,"JC C2 2017 1"
"C2","JC","2017","Castilleja miniata",2,5,1,"JC C2 2017 2"
"C2","JC","2017","Eremogone fendleri",2,50,4,"JC C2 2017 2"
"C2","JC","2017","Eremogone fendleri",3,50,2,"JC C2 2017 3"
"C2","JC","2017","Erigeron flagellaris",1,5,6,"JC C2 2017 1"
"C2","JC","2017","Vicia pulchella",2,5,1,"JC C2 2017 2"
"C2","JC","2018","Eremogone fendleri",1,5,2,"JC C2 2018 1"
"C2","JC","2018","Eremogone fendleri",2,50,2,"JC C2 2018 2"
"C2","JC","2018","Erigeron tracyi",1,50,13,"JC C2 2018 1"
"C2","JC","2018","Erigeron tracyi",2,5,4,"JC C2 2018 2"
"C2","JC","2021","Campanula rotundifolia",2,2,1,"JC C2 2021 2"
"C2","JC","2021","Eremogone fendleri",1,2,1,"JC C2 2021 1"
"C2","JC","2021","Potentilla hippiana",1,12,6,"JC C2 2021 1"
"C2","MM","2012","Gentiana affinis",1,1,1,"MM C2 2012 1"
"C2","MM","2012","Potentilla hippiana",1,15,15,"MM C2 2012 1"
"C2","MM","2017","Allium cernuum",2,50,2,"MM C2 2017 2"
"C2","MM","2017","Erysimum capitatum",1,5,1,"MM C2 2017 1"
"C2","MM","2017","Hymenopappus newberryi",2,50,2,"MM C2 2017 2"
"C2","MM","2017","Monardella odoratissima",3,50,2,"MM C2 2017 3"
"C2","MM","2017","Potentilla hippiana",1,5,1,"MM C2 2017 1"
"C2","MM","2017","Taraxacum officinale",1,5,1,"MM C2 2017 1"
"C2","MM","2017","Vicia pulchella",3,50,3,"MM C2 2017 3"
"C2","MM","2018","Commelina dianthifolia",2,5,1,"MM C2 2018 2"
"C2","MM","2018","Cymopterus lemmonii",1,50,3,"MM C2 2018 1"
"C2","MM","2018","Erigeron tracyi",1,50,12,"MM C2 2018 1"
"C2","MM","2018","Heterotheca pumila",2,5,1,"MM C2 2018 2"
"C2","MM","2018","Hymenopappus newberryi",1,50,1,"MM C2 2018 1"
"C2","MM","2018","Hymenopappus newberryi",2,50,1,"MM C2 2018 2"
"C2","MM","2018","Monardella odoratissima",1,50,1,"MM C2 2018 1"
"C2","MM","2018","Monardella odoratissima",2,50,1,"MM C2 2018 2"
"C2","MM","2018","Vicia pulchella",1,50,3,"MM C2 2018 1"
"C2","MM","2018","Vicia pulchella",2,50,2,"MM C2 2018 2"
"C2","MM","2021","Commelina dianthifolia",1,1,1,"MM C2 2021 1"
"C2","MM","2021","Erysimum capitatum",1,1,1,"MM C2 2021 1"
"C2","MM","2021","Vicia pulchella",1,9,1,"MM C2 2021 1"
"C2","MM","2022","Vicia pulchella",1,1,4,"MM C2 2022 1"
"C2","PL","2012","Achillea millefolium",1,2,2,"PL C2 2012 1"
"C2","PL","2012","Cerastium nutans",1,42,42,"PL C2 2012 1"
"C2","PL","2012","Hymenoxys hoopesii",1,7,7,"PL C2 2012 1"
"C2","PL","2018","Campanula rotundifolia",1,5,1,"PL C2 2018 1"
